participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_5kGrfdcFvaTZHov,attribution,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,1,0.3299608198711944,0.5716115247081437,0.2315331644505323,0.9135056594738893,2.584587546291683,0.33223383379753113,0.5716115247081437,0.2360791923032058,0.9135056594738895,2.584587546291683,0
R_5q8M1s4dsLm5hDO,counterfactual,feature contribution,observed per instance,0.5,1.0,0.5,nan,nan,0,0.19122255881370998,0.7327113136533645,0.11515643128078439,0.8,0.37712025632915197,0.19122255881371,0.7327113136533645,0.11515643128078441,0.8,0.37712025632915197,1
R_5q8M1s4dsLm5hDO,counterfactual,weighted examples,observed per instance,0.0,nan,1.5,0.0,1.0,0,0.21927596077589925,0.6770908112282404,0.1156427327800387,0.75,0.46099904549644916,0.21702300230958346,0.6760167520640991,0.11006275668326607,0.75,0.46647311026853877,0
R_5z49Mi5OsGgJ6pz,attribution,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.2706106748775938,0.6430445409682954,0.18426589072348318,0.9913096595228288,1.3372667612672617,0.29189599221205,0.5894209789511343,0.17321296337523412,0.9913096595228288,1.7413816686189532,0
R_5z49Mi5OsGgJ6pz,attribution,weighted examples,observed per instance,0.0,nan,1.0,2.0,0.0,0,0.2622070027377456,0.6461505628833877,0.17056456835887884,0.8956584677978571,1.3120064730987346,0.27460569391839673,0.6329712299934533,0.18218261783024686,0.8963202438113964,1.3964713283766206,1
R_61yCzDc7u4eGlCE,attribution,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,0.28366667086004654,0.6425800543799262,0.2099133961000194,0.5,1.451431381347903,0.2836666708600466,0.6425800543799263,0.2099133961000194,0.5,1.451431381347903,1
R_61yCzDc7u4eGlCE,attribution,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.31984359178823374,0.587316448304511,0.2270036318809785,0.3681876465206488,1.8307460048766537,0.31991773496816944,0.583555049755897,0.22339051969223583,0.3710884740815282,1.8620793810245466,0
R_65WwRg0sK4kNw2R,counterfactual,feature contribution,observed per instance,1.0,0.5,0.5,nan,nan,0,0.5035940270395484,0.25420988787801824,0.26139794195711485,0.42105263157894735,1.8907375623696399,0.5237962326983328,0.20420862264639875,0.2518010880430642,0.41666666666666663,2.221846221002843,0
R_65WwRg0sK4kNw2R,counterfactual,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.4477001693604204,0.357322992663185,0.2527233313840259,0.9,1.4451857764333798,0.45518019667336834,0.35732299266318507,0.2676833860099218,0.9,1.4451857764333798,1
R_68NgnXPoKxlotUv,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.4697548357748311,0.17711869520294743,0.11662836675260961,0.85,2.100460227581734,0.4888286292472139,0.12897193582724042,0.10662919432166826,0.85,2.3045388585914117,0
R_68NgnXPoKxlotUv,none,weighted examples,observed per instance,0.0,nan,0.5,6.0,0.0,0,0.4594267012010681,0.18749893841431864,0.10635234081645481,0.45,2.170474280517637,0.4672442333219361,0.17515003574502697,0.10963850238889898,0.5,2.2312569555062245,1
R_6HeiSeEgD99blZN,none,feature contribution,observed per instance,0.0,0.0,1.0,nan,nan,1,0.31438499080991583,0.611466530235904,0.24023651185573555,1.0,2.209885806467392,0.31696738875307157,0.6114665302359039,0.24540130774204702,1.0,2.2098858064673923,1
